Key,en,es,ar
Dashboard,Dashboard,Panel,لوحة القيادة
Join Now,Join Now,Únete ahora,نضم الان
Menus,Menus,Menús,القوائم
Email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني
Subscribe,Subscribe,Suscribir,يشترك
is Proudly Powered by AppDevs,is Proudly Powered by AppDevs,está orgullosamente desarrollado por AppDevs,مدعوم بفخر بواسطة AppDevs
Name,Name,Nombre,اسم
Email,Email,Correo electrónico,بريد إلكتروني
Message,Message,Mensaje,رسالة
Send Message,Send Message,Enviar mensaje,أرسل رسالة
Enter Name,Enter Name,Ingrese su nombre,أدخل الاسم
Enter Email,Enter Email,Ingrese correo electrónico,أدخل البريد الإلكتروني
Write Here,Write Here,Escribe aquí,اكتب هنا
Contact Request successfully send!,Contact Request successfully send!,Solicitud de contacto enviada exitosamente!,تم إرسال طلب الاتصال بنجاح!
Subscription successful!,Subscription successful!,¡Suscripción exitosa!,الاشتراك ناجح!
Language Switch to English,Language Switch to English,Cambio de idioma a inglés,تبديل اللغة إلى اللغة الإنجليزية
Language Switch to Spanish,Language Switch to Spanish,Cambio de idioma a español,تبديل اللغة إلى الإسبانية
Language Switch to Arabic,Language Switch to Arabic,Cambio de idioma al árabe,تحويل اللغة إلى اللغة العربية
Enter Password,Enter Password,Introducir la contraseña,أدخل كلمة المرور
Forgot Password?,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟
Login Now,Login Now,Inicia sesión ahora,تسجيل الدخول الآن
Don't Have An Account?,Don't Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟
Register Now,Register Now,Regístrate ahora,سجل الان
By clicking Login you are agreeing with our,By clicking Login you are agreeing with our,Al hacer clic en Iniciar sesión estás de acuerdo con nuestra,بالنقر فوق تسجيل الدخول، فإنك توافق على موافقتنا
Terms of feature,Terms of feature,Términos de característica,شروط الميزة
First Name,First Name,Nombre de pila,الاسم الأول
Last Name,Last Name,Apellido,اسم العائلة
Password,Password,Contraseña,كلمة المرور
I have agreed with,I have agreed with,he estado de acuerdo con,لقد اتفقت مع
Terms Of Use & Privacy Policy,Terms Of Use & Privacy Policy,Términos de uso y política de privacidad,شروط الاستخدام وسياسة الخصوصية
Please enter the code,Please enter the code,Por favor ingresa el código,الرجاء إدخال الرمز
We sent a 6 digit code here,We sent a 6 digit code here,Enviamos un código de 6 dígitos aquí.,لقد أرسلنا رمزًا مكونًا من 6 أرقام هنا
You can resend the code after,You can resend the code after,Puedes reenviar el código después,يمكنك إعادة إرسال الرمز بعد ذلك
Submit,Submit,Entregar,يُقدِّم
Back To,Back To,De regreso,ارجع الى
Login,Login,Acceso,تسجيل الدخول
Didn't get the code?,Didn't get the code?,¿No recibiste el código?,لم تحصل على الرمز؟
Resend,Resend,Reenviar,إعادة إرسال
Mail Resend Success!,Mail Resend Success!,¡Reenvío de correo exitoso!,نجاح إعادة إرسال البريد!
Please verify your mail address. Check your mail inbox to get verification code,Please verify your mail address. Check your mail inbox to get verification code,Por favor verifique su dirección de correo. Revisa tu bandeja de entrada de correo para obtener el código de verificación,يرجى التحقق من عنوان البريد الخاص بك. تحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التحقق
Account successfully verified,Account successfully verified,Cuenta verificada exitosamente,تم التحقق من الحساب بنجاح
Reset Your Forgotten Password?,Reset Your Forgotten Password?,¿Restablecer su contraseña olvidada?,إعادة تعيين كلمة المرور المنسية؟
Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer su contraseña de forma segura.,السيطرة على حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. ترشدك صفحة استعادة كلمة المرور الخاصة بنا إلى الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.
Send OTP,Send OTP,Enviar OTP,أرسل كلمة مرور لمرة واحدة
Verification code sent to your email address.,Verification code sent to your email address.,Código de verificación enviado a su dirección de correo electrónico.,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني.
Password Reset,Password Reset,Restablecimiento de contraseña,إعادة تعيين كلمة المرور
Reset Your Password,Reset Your Password,Restablecer su contraseña,اعد ضبط كلمه السر
Enter New Password,Enter New Password,Ingrese nueva clave,أدخل كلمة المرور الجديدة
Enter Confirm Password,Enter Confirm Password,Ingrese Confirmar Contraseña,أدخل تأكيد كلمة المرور
Reset,Reset,Reiniciar,إعادة ضبط
Password reset success. Please login with new password.,Password reset success. Please login with new password.,Restablecimiento de contraseña exitoso. Por favor inicie sesión con una nueva contraseña.,نجاح إعادة تعيين كلمة المرور. الرجاء تسجيل الدخول بكلمة المرور الجديدة.
My Wallets,My Wallets,Mis billeteras,محافظي
View More,View More,Ver más,عرض المزيد
Buy Crypto Chart,Buy Crypto Chart,Comprar gráfico de criptomonedas,شراء مخطط التشفير
Sell Crypto Chart,Sell Crypto Chart,Vender gráfico de criptomonedas,بيع مخطط التشفير
Buy Log,Buy Log,Comprar registro,شراء السجل
Transaction data not found!,Transaction data not found!,¡No se encontraron datos de transacción!,لم يتم العثور على بيانات المعاملة!
Home,Home,Hogar,بيت
About,About,Acerca de,عن
Service,Service,Servicio,خدمة
Web Journal ,Web Journal ,Diario Web,مجلة الويب
Contact,Contact,Contacto,اتصال
"Ex: Buy Crypto, Sell Crypto","Ex: Buy Crypto, Sell Crypto","Ej: comprar criptomonedas, vender criptomonedas",على سبيل المثال: شراء العملات المشفرة، بيع العملات المشفرة
Notification,Notification,Notificación,إشعار
All Wallets,All Wallets,Todas las carteras,جميع المحافظ
No Wallet Found!,No Wallet Found!,¡No se encontró ninguna billetera!,لم يتم العثور على المحفظة!
Wallet Details,Wallet Details,Detalles de la billetera,تفاصيل المحفظة
Available Network,Available Network,Red disponible,الشبكة المتاحة
Network Name,Network Name,Nombre de red,اسم الشبكة
Profile,Profile,Perfil,حساب تعريفي
Profile Settings,Profile Settings,Configuración de perfil,إعدادات الملف الشخصي
Delete Profile,Delete Profile,Borrar perfil,حذف الملف الشخصي
Country,Country,País,دولة
Select Country,Select Country,Seleccionar país,حدد الدولة
